Instrument,Pointsize,AssetClass,Currency,Slippage,PerBlock,Percentage,PerTrade,Description
AEX,200,Equity,EUR,0.0282686043,2,0,0,Netherlands equity index AEX
AUD,100000,FX,USD,5E-05,2.46,0,0,AUDUSD currency
BOBL,1000,Bond,EUR,0.005,2,0,0,German 5 year bond Bobl
BTP,1000,Bond,EUR,0.005,2,0,0,Italian 10 year bond BTP
BUND,1000,Bond,EUR,0.005,2,0,0,German 10 year bond Bund
CAC,10,Equity,EUR,0.25,2,0,0,French equity index CAC40
COPPER,25000,Metals,USD,0.0006147655,2.31,0,0,Copper
CORN,50,Ags,USD,0.125,2.9,0,0,Corn
CRUDE_W,1000,OilGas,USD,0.0145328653,2.31,0,0,Light sweet crude Winter
EDOLLAR,2500,Bond,USD,0.0025,2.11,0,0,US STIR Eurodollar
EUR,125000,FX,USD,5E-05,2.46,0,0,EURUSD currency
EUROSTX,10,Equity,EUR,0.5,2,0,0,European equity index EUROSTOXX50
GAS_US,10000,OilGas,USD,0.0009387043,2.31,0,0,Natural gas US
GBP,62500,FX,USD,5E-05,2.46,0,0,GBPUSD currency
GOLD,100,Metals,USD,0.0885298446,2.31,0,0,Gold
JPY,12500000,FX,USD,4.80871993208629E-07,2.46,0,0,JPYUSD currency
KOSPI,500000,Equity,KRW,0.025,0,0.0004,0,Korean equity index KOSPI
KR10,1000000,Bond,KRW,0.005,0,4E-05,0,Korean 10 year bond
KR3,1000000,Bond,KRW,0.005,0,4E-05,0,Korean 3 year bond
LEANHOG,400,Ags,USD,0.025,2.9,0,0,Lean hogs
LIVECOW,400,Ags,USD,0.025,2.9,0,0,Live cattle
MXP,500000,FX,USD,1.1567E-05,2.46,0,0,MEXUSD currency
NASDAQ,20,Equity,USD,0.125,2.05,0,0,US equity index Nasdaq
NZD,100000,FX,USD,0.000107147,2.46,0,0,NZDUSD currency
OAT,1000,Bond,EUR,0.005,2,0,0,French 10 year bond OAT
PALLAD,100,Metals,USD,0.3738801253,2.31,0,0,Palladium
PLAT,50,Metals,USD,0.2401075437,2.31,0,0,Platinum
SHATZ,1000,Bond,EUR,0.0025,2,0,0,German 2 year bond Schatz
